Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Agricultural Areas,2,4951165.0,697355.0,422,864,511,2823,-0.25672727272727275,-0.3486764124851837,-0.38495092693565974,-0.531326281529699
Agricultural Areas,2,4951165.0,697365.0,565,939,588,2574,-0.22986247544204322,-0.4419541677159406,-0.3446808510638298,-0.4654141759180188
Agricultural Areas,2,4951165.0,697375.0,577,939,648,2574,-0.1833648393194707,-0.37202761442086424,-0.27496062992125986,-0.4654141759180188
Agricultural Areas,2,4951165.0,697385.0,426,843,478,2504,-0.27630582891748673,-0.38962425277540563,-0.41430192962542567,-0.4962653122198984
Agricultural Areas,2,4951165.0,697395.0,502,843,440,2504,-0.3141075604053001,-0.5810265282583622,-0.4709777950915465,-0.4962653122198984
Agricultural Areas,2,4951165.0,697405.0,637,882,490,1161,-0.2857142857142857,-0.9746394828443561,-0.4284153005464481,-0.13656387665198239
Urban Areas,1,4951165.0,697415.0,785,882,728,1161,-0.09565217391304348,-2.8838951310861423,-0.14343371623719342,-0.13656387665198239
Urban Areas,1,4951165.0,697425.0,557,1002,733,3151,-0.15504322766570605,-0.26182596846408407,-0.23249783923941228,-0.5174572598121839
Agricultural Areas,2,4951165.0,697435.0,423,1002,573,3151,-0.2723809523809524,-0.31419364288853086,-0.4084417645192003,-0.5174572598121839
Agricultural Areas,2,4951165.0,697445.0,406,1037,588,3294,-0.2763076923076923,-0.29806160382368563,-0.41433405106121196,-0.5211267605633803
Agricultural Areas,2,4951165.0,697455.0,415,1037,563,3294,-0.29625,-0.3225806451612903,-0.4442361761949391,-0.5211267605633803
Agricultural Areas,2,4951165.0,697465.0,437,1037,559,2994,-0.29949874686716793,-0.3409901555143387,-0.4491074224866896,-0.4854874720912925
Agricultural Areas,2,4951165.0,697475.0,433,1037,595,2994,-0.2708333333333333,-0.30948046492087944,-0.40612557427258805,-0.4854874720912925
Agricultural Areas,2,4951165.0,697485.0,469,1056,595,3125,-0.27922471229557844,-0.3375311172938937,-0.4187102633969119,-0.49485768954795506
Forests and semi-natural areas,3,4951165.0,697495.0,523,1056,627,3125,-0.2549019607843137,-0.352622061482821,-0.38223938223938225,-0.49485768954795506
Forests and semi-natural areas,3,4951165.0,697505.0,606,983,640,2435,-0.2113370301910043,-0.43004012036108324,-0.3169079149984601,-0.42480983031012287
Forests and semi-natural areas,3,4951165.0,697515.0,625,983,572,2435,-0.2643086816720257,-0.5761143818334735,-0.39633558341369335,-0.42480983031012287
Forests and semi-natural areas,3,4951165.0,697525.0,633,924,554,2145,-0.2503382949932341,-0.684424713281539,-0.3753804531619885,-0.3978494623655914
Forests and semi-natural areas,3,4951165.0,697535.0,579,924,561,2145,-0.24444444444444444,-0.5146016444570456,-0.36654325143049477,-0.3978494623655914
Forests and semi-natural areas,3,4951165.0,697545.0,504,782,473,2017,-0.24621513944223108,-0.5573593073593074,-0.36917562724014336,-0.44122901036084317
Forests and semi-natural areas,3,4951165.0,697555.0,425,782,433,2017,-0.2872427983539095,-0.4500902759865876,-0.4306869600987248,-0.44122901036084317
Forests and semi-natural areas,3,4951165.0,697565.0,377,543,397,1423,-0.15531914893617021,-0.4405552202776101,-0.23285486443381181,-0.4476093591047813
Forests and semi-natural areas,3,4951165.0,697575.0,370,543,355,1423,-0.20935412026726058,-0.5601907032181168,-0.31385642737896496,-0.4476093591047813
Forests and semi-natural areas,3,4951165.0,697585.0,389,503,367,1130,-0.15632183908045977,-0.7257203842049093,-0.23434807581849512,-0.38395590936925905
Forests and semi-natural areas,3,4951165.0,697595.0,383,503,386,1130,-0.13160854893138357,-0.5492957746478874,-0.1973018549747049,-0.38395590936925905
